quarter_key,year,quarter,word_count,call_date,gross_margin,operating_margin,eps_twd,roe,revenue_usd_b,guide_gm_low,guide_gm_high,capex_quarter_usd_b,capex_year_low_usd_b,capex_year_high_usd_b,plat_hpc_pct,plat_smartphone_pct,plat_iot_pct,plat_automotive_pct,plat_dce_pct,node_7nm_pct,node_10nm_pct,node_16nm_pct,employee_mentions,talent_mentions,training_mentions,workforce_mentions,safety_mentions,culture_mentions,mentions_n7,mentions_n5,mentions_n3,mentions_n2,mentions_a16,mentions_a14,mentions_arizona,mentions_japan,mentions_germany,mentions_ai,mentions_5g,guide_om_low,guide_om_high,node_advanced_pct,node_5nm_pct,guide_rev_low_usd_b,guide_rev_high_usd_b,tax_rate,rd_pct,node_3nm_pct
2022_Q4,2022,Q4,13771,2023-01-12,62.2,52.0,11.41,41.7,,53.5,55.5,10.82,,,42.0,38.0,8.0,6.0,2.0,22.0,,,0,1,0,0,1,1,9,8,27,6,0,0,6,6,0,1,1,41.5,43.5,54.0,32.0,16.7,17.5,15.0,7.2,
2023_Q1,2023,Q1,12832,2023-04-20,52.0,45.5,7.98,27.5,16.7,52.0,54.0,9.94,32.0,36.0,44.0,34.0,9.0,7.0,2.0,20.0,,,5,4,5,0,0,5,1,9,28,9,0,0,5,8,0,18,1,39.5,41.5,51.0,31.0,,,,,
2023_Q2,2023,Q2,13371,2023-07-20,54.1,42.0,7.01,23.2,15.7,51.5,53.5,8.17,,,44.0,33.0,8.0,8.0,3.0,23.0,,,0,1,1,0,0,1,4,4,32,10,0,0,4,2,1,52,1,,,53.0,30.0,16.7,17.5,,,
2023_Q3,2023,Q3,12003,2023-10-19,54.3,41.7,8.14,25.8,17.3,51.5,53.5,7.1,,,42.0,39.0,9.0,5.0,2.0,16.0,,,5,2,0,0,0,1,3,2,20,17,0,0,8,1,2,42,0,39.5,41.5,,37.0,18.8,19.6,,,6.0
2023_Q4,2023,Q4,12366,2024-01-18,53.0,41.6,9.21,28.1,,52.0,54.0,,28.0,32.0,43.0,43.0,5.0,5.0,2.0,19.0,,,0,2,2,1,1,1,0,3,16,9,0,0,10,11,2,49,1,40.0,42.0,67.0,33.0,,,,,15.0
2024_Q1,2024,Q1,12273,2024-04-18,53.1,42.0,8.7,25.4,18.9,,,,28.0,32.0,46.0,38.0,6.0,6.0,2.0,19.0,,,1,0,1,0,2,0,10,11,23,22,0,0,6,2,2,58,0,40.0,42.0,,37.0,19.6,20.4,,,9.0
2024_Q2,2024,Q2,11272,2024-07-18,53.2,42.5,9.56,26.7,20.8,53.5,55.5,6.36,30.0,32.0,52.0,33.0,6.0,5.0,2.0,17.0,,,0,0,0,0,0,0,0,6,29,15,16,0,2,1,0,34,3,42.5,44.5,,35.0,,,,,15.0
2024_Q3,2024,Q3,9862,2024-10-17,57.8,47.5,12.54,33.4,23.5,,,,,,51.0,34.0,,5.0,1.0,17.0,,,0,0,1,0,0,0,0,3,8,4,7,0,6,4,2,39,0,46.5,48.5,69.0,32.0,26.1,26.9,,,20.0
2024_Q4,2024,Q4,11415,2025-01-16,59.0,49.0,14.45,36.2,,,,11.2,38.0,42.0,53.0,35.0,5.0,4.0,1.0,14.0,,,0,0,1,0,0,0,0,2,5,9,7,0,10,2,2,60,2,46.5,48.5,74.0,34.0,,,16.7,,26.0
2025_Q1,2025,Q1,10786,2025-04-17,58.8,48.5,13.94,32.7,25.5,57.0,59.0,,38.0,42.0,59.0,28.0,5.0,5.0,1.0,15.0,,,1,0,1,0,0,0,0,0,3,13,7,0,28,10,3,35,1,,,,36.0,28.4,29.2,,,22.0
2025_Q2,2025,Q2,11809,2025-07-17,58.6,49.6,15.36,34.8,30.1,55.5,57.5,9.6,38.0,42.0,60.0,27.0,5.0,5.0,1.0,14.0,,,0,0,0,0,0,0,3,19,32,43,16,6,7,7,5,55,0,,,,36.0,,,,,24.0
2025_Q3,2025,Q3,9671,2025-10-16,59.5,50.6,17.44,37.8,33.1,59.0,61.0,9.7,,,57.0,30.0,5.0,5.0,1.0,14.0,,,0,0,0,0,0,0,1,3,9,16,5,0,8,2,2,58,0,,,,37.0,32.2,33.4,,,23.0
2025_Q4,2025,Q4,11441,2026-01-15,62.3,54.0,19.5,38.8,33.7,63.0,65.0,,52.0,56.0,55.0,32.0,5.0,5.0,1.0,14.0,,,0,1,0,0,0,0,1,3,5,11,5,1,10,2,2,46,1,,,77.0,35.0,,,16.0,,28.0
2026_Q1,2026,Q1,10884,2026-04-16,66.2,58.1,22.08,40.5,35.9,,,,,,61.0,26.0,6.0,4.0,1.0,13.0,,,0,0,1,0,1,1,1,1,6,6,1,5,5,2,2,38,1,56.5,58.5,74.0,36.0,39.0,40.2,,,25.0
