quarter_key,year,quarter,mgmt_word_count,pricing_intent,demand_strength,supply_tightness,hedging_language,tech_positioning,pricing_intent_rate,demand_strength_rate,supply_tightness_rate,hedging_language_rate,tech_positioning_rate,pricing_intent_rate_raw,demand_strength_rate_raw,supply_tightness_rate_raw,hedging_language_rate_raw,tech_positioning_rate_raw,pricing_intent_neg_count,demand_strength_neg_count,supply_tightness_neg_count,hedging_language_neg_count,tech_positioning_neg_count,tfidf_cosine_similarity,language_drift,topic_0_weight,topic_1_weight,topic_2_weight,topic_3_weight,topic_4_weight,topic_5_weight,topic_6_weight,topic_7_weight,dominant_topic,call_date,event_date,alpha,beta,sigma,n_est,status,CAR_0_0,CAR_m1p1,CAR_0p1,CAR_m1p3,CAR_m1p5,SAR_0,AR_0,lagged_vol
2016_Q2,2016,Q2,8467,0,0,1,0,5,0.0,0.0,0.1181,0.0,0.5905,0.0,0.0,0.1181,0.0,0.5905,0,0,0,0,0,0.9056,0.0944,0.0,0.0,0.0,0.0,0.9998,0.0,0.0,0.0,4,2016-07-14,2016-07-14,0.001522,1.0552,0.012157,121,ok,0.000769,-0.007368,-0.003027,-0.002236,0.002039,0.0632,0.000769,0.016142
2016_Q3,2016,Q3,7143,0,4,1,0,4,0.0,0.56,0.14,0.0,0.56,0.0,0.56,0.14,0.0,0.56,0,0,0,0,0,0.9037,0.0963,0.0032,0.0,0.0,0.0,0.9966,0.0,0.0,0.0,4,2016-10-13,2016-10-13,0.001347,1.1211,0.010799,121,ok,-0.023831,-0.004139,-0.021498,-0.00341,-0.00053,-2.2067,-0.023831,0.01356
2016_Q4,2016,Q4,8409,0,1,0,1,4,0.0,0.1189,0.0,0.1189,0.4757,0.0,0.1189,0.0,0.1189,0.4757,0,0,0,0,0,0.8266,0.1734,0.0,0.0,0.0,0.0,0.9998,0.0,0.0,0.0,4,2017-01-12,2017-01-12,0.000114,1.2144,0.011739,121,ok,-0.026234,-0.024233,-0.024013,-0.02114,-0.001733,-2.2347,-0.026234,0.013646
2017_Q1,2017,Q1,10671,0,4,1,6,6,0.0,0.3748,0.0937,0.5623,0.5623,0.0,0.3748,0.0937,0.5623,0.5623,0,0,0,0,0,0.7758,0.2242,0.2426,0.0,0.0,0.0,0.7573,0.0,0.0,0.0,4,2017-04-13,2017-04-13,-0.000143,1.0415,0.012017,121,ok,-0.007033,-0.00883,-0.009834,-0.016675,-0.00673,-0.5852,-0.007033,0.013013
2017_Q2,2017,Q2,10051,0,2,0,3,8,0.0,0.199,0.0,0.2985,0.7959,0.0,0.199,0.0,0.2985,0.7959,0,0,0,0,0,0.8152,0.1848,0.0759,0.0,0.0,0.0,0.924,0.0,0.0,0.0,4,2017-07-20,2017-07-20,0.000797,1.1266,0.00928,121,ok,-0.009813,-0.008373,-0.016531,-0.005423,-0.003794,-1.0574,-0.009813,0.010571
2017_Q3,2017,Q3,9444,0,3,4,0,4,0.0,0.3177,0.4235,0.0,0.4235,0.0,0.3177,0.4235,0.0,0.4235,0,0,0,0,0,0.8211,0.1789,0.4011,0.0,0.0,0.003,0.5957,0.0,0.0,0.0,4,2017-10-23,2017-10-23,0.00103,1.1982,0.008286,121,ok,0.005818,-0.000644,0.005352,-0.001222,0.013967,0.7021,0.005818,0.009873
2017_Q4,2017,Q4,10711,0,6,0,1,7,0.0,0.5602,0.0,0.0934,0.6535,0.0,0.5602,0.0,0.0934,0.6535,0,0,0,0,0,0.7638,0.2362,0.1983,0.0,0.0,0.0,0.8015,0.0,0.0,0.0,4,2018-01-18,2018-01-18,0.000144,1.2797,0.00988,121,ok,0.035394,0.04064,0.031671,0.063354,0.037419,3.5822,0.035394,0.011078
2018_Q1,2018,Q1,10073,0,4,3,12,3,0.0,0.3971,0.2978,1.1913,0.2978,0.0,0.3971,0.2978,1.1913,0.2978,0,0,0,0,0,0.7775,0.2225,0.7336,0.0,0.0,0.0,0.2663,0.0,0.0,0.0,0,2018-04-19,2018-04-19,0.000472,1.1238,0.011861,121,ok,-0.051251,-0.067388,-0.056866,-0.058164,-0.088277,-4.3208,-0.051251,0.016013
2018_Q2,2018,Q2,10086,0,4,2,8,8,0.0,0.3966,0.1983,0.7932,0.7932,0.0,0.3966,0.1983,0.7932,0.7932,0,0,0,0,0,0.843,0.157,0.5139,0.0,0.0,0.0,0.486,0.0,0.0,0.0,0,2018-07-19,2018-07-19,-0.000663,1.0972,0.012602,121,ok,0.04125,0.074358,0.066277,0.059777,0.065008,3.2731,0.04125,0.017054
2018_Q3,2018,Q3,10416,0,2,1,9,10,0.0,0.192,0.096,0.8641,0.9601,0.0,0.192,0.096,0.8641,0.9601,0,0,0,0,0,0.8195,0.1805,0.8172,0.0,0.0,0.0,0.1826,0.0,0.0,0.0,0,2018-10-18,2018-10-18,-0.000533,1.0985,0.013431,121,ok,-0.009633,-0.021499,-0.010839,-0.021483,-0.021896,-0.7172,-0.009633,0.014615
2018_Q4,2018,Q4,10247,0,7,0,9,8,0.0,0.6831,0.0,0.8783,0.7807,0.0,0.6831,0.0,0.8783,0.7807,0,0,0,0,0,0.8447,0.1553,0.9337,0.0,0.0,0.0,0.0662,0.0,0.0,0.0,0,2019-01-17,2019-01-17,0.000475,1.0409,0.013294,121,ok,0.009866,-0.0034,0.010693,-0.001924,0.032564,0.7421,0.009866,0.017779
2019_Q1,2019,Q1,9564,0,2,0,2,6,0.0,0.2091,0.0,0.2091,0.6274,0.0,0.2091,0.0,0.2091,0.6274,0,0,0,0,0,0.8404,0.1596,0.9995,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0,2019-04-18,2019-04-18,0.000216,1.0448,0.01156,121,ok,0.02048,0.048283,0.013857,0.046537,0.009263,1.7717,0.02048,0.017401
2019_Q2,2019,Q2,10057,0,8,1,1,17,0.0,0.7955,0.0994,0.0994,1.6904,0.0,0.7955,0.0994,0.0994,1.7898,0,0,0,0,1,0.8695,0.1305,0.9737,0.0,0.0,0.0,0.0261,0.0,0.0,0.0,0,2019-07-18,2019-07-18,-0.000165,1.2021,0.013319,121,ok,0.033238,0.059892,0.054898,0.062208,0.044678,2.4955,0.033238,0.015787
2019_Q3,2019,Q3,11014,0,8,2,0,6,0.0,0.7263,0.1816,0.0,0.5448,0.0,0.7263,0.1816,0.0,0.5448,0,0,0,0,0,0.8085,0.1915,0.7305,0.0,0.0,0.0,0.2694,0.0,0.0,0.0,0,2019-10-17,2019-10-17,0.001199,1.195,0.014419,121,ok,-0.012304,-0.022159,-0.017719,-0.001346,-0.002909,-0.8533,-0.012304,0.017824
2019_Q4,2019,Q4,9945,0,10,1,11,7,0.0,1.0055,0.1006,1.1061,0.7039,0.0,1.0055,0.1006,1.1061,0.7039,0,0,0,0,0,0.7477,0.2523,0.9119,0.0,0.0,0.0755,0.0125,0.0,0.0,0.0,0,2020-01-16,2020-01-16,0.002471,1.1792,0.01118,121,ok,-0.006114,-0.052281,-0.015149,-0.058971,-0.065339,-0.5469,-0.006114,0.014595
2020_Q1,2020,Q1,9572,0,6,0,7,9,0.0,0.6268,0.0,0.7313,0.9402,0.0,0.6268,0.0,0.7313,0.9402,0,0,0,0,0,0.8373,0.1627,0.7863,0.0,0.0,0.2135,0.0,0.0,0.0,0.0,0,2020-04-16,2020-04-16,0.001128,0.9159,0.016177,121,ok,0.049629,0.04755,0.048375,0.045554,0.047938,3.0678,0.049629,0.028198
2020_Q2,2020,Q2,9839,0,7,1,6,19,0.0,0.7115,0.1016,0.6098,1.9311,0.0,0.7115,0.1016,0.8131,1.9311,0,0,0,2,0,0.3342,0.6658,0.0,0.0,0.0,0.9998,0.0,0.0,0.0,0.0,3,2020-07-16,2020-07-16,0.00024,0.8872,0.01836,121,ok,0.010705,-0.016792,0.00504,-0.005196,-0.006448,0.5831,0.010705,0.031235
2020_Q3,2020,Q3,9607,0,15,4,7,10,0.0,1.5614,0.4164,0.7286,1.0409,0.0,1.5614,0.4164,0.7286,1.0409,0,0,0,0,0,0.8607,0.1393,0.0,0.0,0.0,0.9998,0.0,0.0,0.0,0.0,3,2020-10-15,2020-10-15,0.003231,0.9486,0.023382,121,ok,-0.007137,-0.035117,-0.026244,-0.013042,-0.023433,-0.3052,-0.007137,0.026689
2020_Q4,2020,Q4,10271,0,14,1,0,11,0.0,1.3631,0.0974,0.0,1.071,0.0,1.3631,0.0974,0.0,1.071,0,0,0,0,0,0.2569,0.7431,0.947,0.0,0.0,0.0469,0.006,0.0,0.0,0.0,0,2021-01-14,2021-01-14,0.002967,1.1494,0.023179,121,ok,0.061613,0.020668,0.05738,0.033248,0.019861,2.6581,0.061613,0.026001
2021_Q1,2021,Q1,10073,0,13,2,5,19,0.0,1.2906,0.1986,0.4964,1.8862,0.0,1.2906,0.1986,0.4964,1.8862,0,0,0,0,0,0.9103,0.0897,0.9999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2021-04-15,2021-04-15,0.001006,1.5342,0.020844,121,ok,-0.038093,-0.0394,-0.040087,-0.055488,-0.05441,-1.8276,-0.038093,0.025699
2021_Q2,2021,Q2,9488,0,12,0,10,18,0.0,1.2648,0.0,1.054,1.8971,0.0,1.2648,0.0,1.054,2.1079,0,0,0,0,2,0.9153,0.0847,0.9998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2021-07-15,2021-07-15,-0.001528,1.8236,0.019659,121,ok,-0.047393,-0.04403,-0.046791,-0.034443,-0.048455,-2.4108,-0.047393,0.024937
2021_Q3,2021,Q3,8459,0,9,0,2,19,0.0,1.064,0.0,0.2364,2.2461,0.0,1.064,0.0,0.2364,2.2461,0,0,0,0,0,0.9024,0.0976,0.9998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2021-10-14,2021-10-14,-0.001065,1.1109,0.014064,121,ok,0.005838,0.023088,0.018877,0.031584,0.020796,0.4151,0.005838,0.015984
2021_Q4,2021,Q4,9812,1,22,0,2,13,0.1019,2.2422,0.0,0.2038,1.3249,0.1019,2.2422,0.0,0.2038,1.3249,0,0,0,0,0,0.8256,0.1744,0.9999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2022-01-13,2022-01-13,-0.000698,1.0741,0.013712,121,ok,0.068133,0.100437,0.078953,0.06238,0.046682,4.9689,0.068133,0.016122
2022_Q1,2022,Q1,8553,0,18,1,3,10,0.0,2.1045,0.1169,0.3508,1.1692,0.0,2.1045,0.1169,0.3508,1.1692,0,0,0,0,0,0.8872,0.1128,0.9998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2022-04-14,2022-04-14,-0.000626,1.2648,0.017911,121,ok,-0.014561,0.017519,-0.010287,0.001753,0.022711,-0.813,-0.014561,0.022955
2022_Q2,2022,Q2,9548,0,4,0,18,14,0.0,0.4189,0.0,1.8852,1.4663,0.0,0.4189,0.0,1.8852,1.4663,0,0,0,0,0,0.9038,0.0962,0.9998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2022-07-14,2022-07-14,-0.001598,1.1127,0.016241,121,ok,0.033578,0.07247,0.037342,0.061598,0.065339,2.0675,0.033578,0.024104
2022_Q3,2022,Q3,8258,0,11,1,16,8,0.0,1.332,0.1211,1.9375,0.9688,0.0,1.332,0.1211,1.9375,0.9688,0,0,0,0,0,0.9028,0.0972,0.9998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2022-10-13,2022-10-13,-0.001244,1.0207,0.014946,121,ok,0.013458,0.012448,-0.002565,-0.026294,-0.010055,0.9005,0.013458,0.022106
2022_Q4,2022,Q4,9984,1,5,2,4,20,0.1002,0.5008,0.2003,0.4006,2.0032,0.1002,0.5008,0.2003,0.4006,2.0032,0,0,0,0,0,0.8273,0.1727,0.9999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2023-01-12,2023-01-12,-0.000331,1.1261,0.018129,121,ok,0.060061,0.046088,0.053724,0.097215,0.102889,3.3129,0.060061,0.024581
2023_Q1,2023,Q1,8569,0,3,3,8,11,0.0,0.3501,0.3501,0.9336,1.2837,0.0,0.3501,0.3501,0.9336,1.2837,0,0,0,0,0,0.8953,0.1047,0.9998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2023-04-20,2023-04-20,0.001892,1.1325,0.019331,121,ok,0.027904,-0.030795,-0.01877,-0.054099,-0.058853,1.4435,0.027904,0.024118
2023_Q2,2023,Q2,9819,1,6,1,7,20,0.1018,0.6111,0.1018,0.7129,2.0369,0.1018,0.6111,0.1018,0.7129,2.1387,0,0,0,0,1,0.9033,0.0967,0.9938,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0,2023-07-20,2023-07-20,0.00071,1.1794,0.01968,121,ok,-0.043341,-0.05449,-0.050285,-0.033047,-0.036503,-2.2023,-0.043341,0.022254
2023_Q3,2023,Q3,8002,1,7,1,6,28,0.125,0.8748,0.125,0.7498,3.4991,0.125,0.8748,0.125,0.7498,3.4991,0,0,0,0,0,0.8959,0.1041,0.9998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2023-10-19,2023-10-19,-0.000177,1.4489,0.016673,121,ok,0.049849,0.054708,0.050609,0.050276,0.042957,2.9898,0.049849,0.019654
2023_Q4,2023,Q4,8627,0,5,1,4,16,0.0,0.5796,0.1159,0.4637,1.8546,0.0,0.5796,0.1159,0.4637,1.8546,0,0,0,0,0,0.8175,0.1825,0.9998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2024-01-18,2024-01-18,-0.000826,1.4642,0.011931,121,ok,0.085717,0.100196,0.078641,0.093969,0.107342,7.1843,0.085717,0.016073
2024_Q1,2024,Q1,9317,0,6,0,6,15,0.0,0.644,0.0,0.644,1.61,0.0,0.644,0.0,0.644,1.61,0,0,0,0,0,0.8189,0.1811,0.9997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2024-04-18,2024-04-18,0.001481,1.644,0.017978,121,ok,-0.046721,-0.065663,-0.068403,-0.058858,-0.031093,-2.5988,-0.046721,0.021505
2024_Q2,2024,Q2,7356,0,8,2,3,17,0.0,1.0875,0.2719,0.4078,2.311,0.0,1.0875,0.2719,0.4078,2.311,0,0,0,0,0,0.8625,0.1375,0.9998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2024-07-18,2024-07-18,0.002683,1.8687,0.020388,121,ok,0.015592,-0.066424,-0.010174,-0.063752,-0.073032,0.7648,0.015592,0.023796
2024_Q3,2024,Q3,6290,0,6,0,0,5,0.0,0.9539,0.0,0.0,0.7949,0.0,0.9539,0.0,0.0,0.7949,0,0,0,0,0,0.8713,0.1287,0.9998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2024-10-17,2024-10-17,7.6e-05,2.342,0.018516,121,ok,0.097654,0.055602,0.063987,0.049184,0.062771,5.2741,0.097654,0.026987
2024_Q4,2024,Q4,7586,0,15,0,0,15,0.0,1.9773,0.0,0.0,1.9773,0.0,1.9773,0.0,0.0,1.9773,0,0,0,0,0,0.7781,0.2219,0.9045,0.0001,0.0001,0.0001,0.0952,0.0001,0.0001,0.0001,0,2025-01-16,2025-01-16,-9.1e-05,1.7653,0.022448,121,ok,0.042123,0.003711,0.009173,0.03243,0.022295,1.8764,0.042123,0.02754
2025_Q1,2025,Q1,6911,0,9,1,0,11,0.0,1.3023,0.1447,0.0,1.5917,0.0,1.3023,0.1447,0.0,1.5917,0,0,0,0,0,0.8521,0.1479,0.9998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2025-04-17,2025-04-17,-0.000266,1.4543,0.024935,121,ok,-0.001348,0.00458,0.007964,0.011019,0.0164,-0.0541,-0.001348,0.028892
2025_Q2,2025,Q2,7894,3,15,5,8,18,0.38,1.9002,0.6334,1.0134,2.2802,0.38,2.0269,0.6334,1.0134,2.2802,0,1,0,0,0,0.8686,0.1314,0.9997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2025-07-17,2025-07-17,0.000293,1.3992,0.020251,121,ok,0.024988,0.00215,0.004547,-0.025531,-0.008775,1.2339,0.024988,0.030331
2025_Q3,2025,Q3,6129,0,11,1,0,17,0.0,1.7947,0.1632,0.0,2.7737,0.0,1.7947,0.1632,0.0,2.9369,0,0,0,0,1,0.8865,0.1135,0.9588,0.0,0.0,0.0409,0.0,0.0,0.0,0.0,0,2025-10-16,2025-10-16,0.002701,1.4382,0.01528,121,ok,-0.008889,-0.015081,-0.03563,-0.037257,-0.056423,-0.5818,-0.008889,0.020035
2025_Q4,2025,Q4,8543,3,18,5,0,26,0.3512,2.107,0.5853,0.0,3.0434,0.3512,2.107,0.5853,0.0,3.0434,0,0,0,0,0,0.454,0.546,0.9424,0.0001,0.0001,0.056,0.0013,0.0001,0.0001,0.0001,0,2026-01-15,2026-01-15,0.001136,1.8396,0.016343,121,ok,0.038274,0.03643,0.040903,0.002686,0.01688,2.3419,0.038274,0.020649
2026_Q1,2026,Q1,6888,0,13,3,0,19,0.0,1.8873,0.4355,0.0,2.7584,0.0,1.8873,0.4355,0.0,2.7584,0,0,0,0,0,0.7209,0.2791,0.9682,0.0,0.0,0.0317,0.0,0.0,0.0,0.0,0,2026-04-17,2026-04-17,0.001489,2.0597,0.016274,121,ok,-0.006704,-0.044579,-0.006704,-0.044579,-0.044579,-0.4119,-0.006704,0.023991
