quarter_key,year,quarter,mgmt_word_count,pricing_intent,demand_strength,supply_tightness,hedging_language,tech_positioning,pricing_intent_rate,demand_strength_rate,supply_tightness_rate,hedging_language_rate,tech_positioning_rate,pricing_intent_rate_raw,demand_strength_rate_raw,supply_tightness_rate_raw,hedging_language_rate_raw,tech_positioning_rate_raw,pricing_intent_neg_count,demand_strength_neg_count,supply_tightness_neg_count,hedging_language_neg_count,tech_positioning_neg_count,tfidf_cosine_similarity,language_drift,topic_0_weight,topic_1_weight,topic_2_weight,topic_3_weight,topic_4_weight,topic_5_weight,topic_6_weight,topic_7_weight,dominant_topic,call_date
2014_Q1,2014,Q1,7737,0,3,0,1,1,0.0,0.3877,0.0,0.1292,0.1292,0.0,0.3877,0.0,0.1292,0.1292,0,0,0,0,0,0.8693,0.1307,0.0,0.0,0.0,0.0,0.9998,0.0,0.0,0.0,4,2014-04-17
2014_Q2,2014,Q2,8355,0,2,1,4,2,0.0,0.2394,0.1197,0.4788,0.2394,0.0,0.2394,0.2394,0.4788,0.2394,0,0,1,0,0,0.8609,0.1391,0.0,0.0,0.0,0.0,0.9998,0.0,0.0,0.0,4,2014-07-17
2014_Q3,2014,Q3,7525,0,3,1,5,5,0.0,0.3987,0.1329,0.6645,0.6645,0.0,0.3987,0.1329,0.7973,0.6645,0,0,0,1,0,0.917,0.083,0.0,0.0,0.0,0.0,0.9998,0.0,0.0,0.0,4,2014-10-16
2014_Q4,2014,Q4,8556,0,4,1,4,5,0.0,0.4675,0.1169,0.4675,0.5844,0.0,0.4675,0.1169,0.4675,0.5844,0,0,0,0,0,0.8135,0.1865,0.0,0.0,0.0,0.0,0.9998,0.0,0.0,0.0,4,2015-01-15
2015_Q1,2015,Q1,6893,0,2,0,2,0,0.0,0.2901,0.0,0.2901,0.0,0.0,0.2901,0.0,0.2901,0.0,0,0,0,0,0,0.8869,0.1131,0.0,0.0,0.0,0.0,0.9998,0.0,0.0,0.0,4,2015-04-16
2015_Q2,2015,Q2,9195,0,0,2,4,3,0.0,0.0,0.2175,0.435,0.3263,0.0,0.0,0.2175,0.435,0.5438,0,0,0,0,2,0.9147,0.0853,0.0,0.0,0.0,0.0,0.9998,0.0,0.0,0.0,4,2015-07-16
2015_Q3,2015,Q3,7659,0,1,1,9,6,0.0,0.1306,0.1306,1.1751,0.7834,0.0,0.1306,0.1306,1.1751,0.7834,0,0,0,0,0,0.8987,0.1013,0.0,0.0,0.0,0.0,0.9998,0.0,0.0,0.0,4,2015-10-15
2015_Q4,2015,Q4,9212,0,2,0,1,3,0.0,0.2171,0.0,0.1086,0.3257,0.0,0.2171,0.0,0.1086,0.3257,0,0,0,0,0,0.8331,0.1669,0.0,0.0,0.0,0.0,0.9998,0.0,0.0,0.0,4,2016-01-14
2016_Q1,2016,Q1,7716,0,8,0,5,6,0.0,1.0368,0.0,0.648,0.7776,0.0,1.0368,0.0,0.648,0.7776,0,0,0,0,0,0.8706,0.1294,0.003,0.0,0.0,0.0,0.9968,0.0,0.0,0.0,4,2016-04-14
2016_Q2,2016,Q2,8467,0,0,1,0,5,0.0,0.0,0.1181,0.0,0.5905,0.0,0.0,0.1181,0.0,0.5905,0,0,0,0,0,0.9056,0.0944,0.0,0.0,0.0,0.0,0.9998,0.0,0.0,0.0,4,2016-07-14
2016_Q3,2016,Q3,7143,0,4,1,0,4,0.0,0.56,0.14,0.0,0.56,0.0,0.56,0.14,0.0,0.56,0,0,0,0,0,0.9037,0.0963,0.0032,0.0,0.0,0.0,0.9966,0.0,0.0,0.0,4,2016-10-13
2016_Q4,2016,Q4,8409,0,1,0,1,4,0.0,0.1189,0.0,0.1189,0.4757,0.0,0.1189,0.0,0.1189,0.4757,0,0,0,0,0,0.8266,0.1734,0.0,0.0,0.0,0.0,0.9998,0.0,0.0,0.0,4,2017-01-12
2017_Q1,2017,Q1,10671,0,4,1,6,6,0.0,0.3748,0.0937,0.5623,0.5623,0.0,0.3748,0.0937,0.5623,0.5623,0,0,0,0,0,0.7758,0.2242,0.2426,0.0,0.0,0.0,0.7573,0.0,0.0,0.0,4,2017-04-13
2017_Q2,2017,Q2,10051,0,2,0,3,8,0.0,0.199,0.0,0.2985,0.7959,0.0,0.199,0.0,0.2985,0.7959,0,0,0,0,0,0.8152,0.1848,0.0759,0.0,0.0,0.0,0.924,0.0,0.0,0.0,4,2017-07-20
2017_Q3,2017,Q3,9444,0,3,4,0,4,0.0,0.3177,0.4235,0.0,0.4235,0.0,0.3177,0.4235,0.0,0.4235,0,0,0,0,0,0.8211,0.1789,0.4011,0.0,0.0,0.003,0.5957,0.0,0.0,0.0,4,2017-10-23
2017_Q4,2017,Q4,10711,0,6,0,1,7,0.0,0.5602,0.0,0.0934,0.6535,0.0,0.5602,0.0,0.0934,0.6535,0,0,0,0,0,0.7638,0.2362,0.1983,0.0,0.0,0.0,0.8015,0.0,0.0,0.0,4,2018-01-18
2018_Q1,2018,Q1,10073,0,4,3,12,3,0.0,0.3971,0.2978,1.1913,0.2978,0.0,0.3971,0.2978,1.1913,0.2978,0,0,0,0,0,0.7775,0.2225,0.7336,0.0,0.0,0.0,0.2663,0.0,0.0,0.0,0,2018-04-19
2018_Q2,2018,Q2,10086,0,4,2,8,8,0.0,0.3966,0.1983,0.7932,0.7932,0.0,0.3966,0.1983,0.7932,0.7932,0,0,0,0,0,0.843,0.157,0.5139,0.0,0.0,0.0,0.486,0.0,0.0,0.0,0,2018-07-19
2018_Q3,2018,Q3,10416,0,2,1,9,10,0.0,0.192,0.096,0.8641,0.9601,0.0,0.192,0.096,0.8641,0.9601,0,0,0,0,0,0.8195,0.1805,0.8172,0.0,0.0,0.0,0.1826,0.0,0.0,0.0,0,2018-10-18
2018_Q4,2018,Q4,10247,0,7,0,9,8,0.0,0.6831,0.0,0.8783,0.7807,0.0,0.6831,0.0,0.8783,0.7807,0,0,0,0,0,0.8447,0.1553,0.9337,0.0,0.0,0.0,0.0662,0.0,0.0,0.0,0,2019-01-17
2019_Q1,2019,Q1,9564,0,2,0,2,6,0.0,0.2091,0.0,0.2091,0.6274,0.0,0.2091,0.0,0.2091,0.6274,0,0,0,0,0,0.8404,0.1596,0.9995,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0,2019-04-18
2019_Q2,2019,Q2,10057,0,8,1,1,17,0.0,0.7955,0.0994,0.0994,1.6904,0.0,0.7955,0.0994,0.0994,1.7898,0,0,0,0,1,0.8695,0.1305,0.9737,0.0,0.0,0.0,0.0261,0.0,0.0,0.0,0,2019-07-18
2019_Q3,2019,Q3,11014,0,8,2,0,6,0.0,0.7263,0.1816,0.0,0.5448,0.0,0.7263,0.1816,0.0,0.5448,0,0,0,0,0,0.8085,0.1915,0.7305,0.0,0.0,0.0,0.2694,0.0,0.0,0.0,0,2019-10-17
2019_Q4,2019,Q4,9945,0,10,1,11,7,0.0,1.0055,0.1006,1.1061,0.7039,0.0,1.0055,0.1006,1.1061,0.7039,0,0,0,0,0,0.7477,0.2523,0.9119,0.0,0.0,0.0755,0.0125,0.0,0.0,0.0,0,2020-01-16
2020_Q1,2020,Q1,9572,0,6,0,7,9,0.0,0.6268,0.0,0.7313,0.9402,0.0,0.6268,0.0,0.7313,0.9402,0,0,0,0,0,0.8373,0.1627,0.7863,0.0,0.0,0.2135,0.0,0.0,0.0,0.0,0,2020-04-16
2020_Q2,2020,Q2,9839,0,7,1,6,19,0.0,0.7115,0.1016,0.6098,1.9311,0.0,0.7115,0.1016,0.8131,1.9311,0,0,0,2,0,0.3342,0.6658,0.0,0.0,0.0,0.9998,0.0,0.0,0.0,0.0,3,2020-07-16
2020_Q3,2020,Q3,9607,0,15,4,7,10,0.0,1.5614,0.4164,0.7286,1.0409,0.0,1.5614,0.4164,0.7286,1.0409,0,0,0,0,0,0.8607,0.1393,0.0,0.0,0.0,0.9998,0.0,0.0,0.0,0.0,3,2020-10-15
2020_Q4,2020,Q4,10271,0,14,1,0,11,0.0,1.3631,0.0974,0.0,1.071,0.0,1.3631,0.0974,0.0,1.071,0,0,0,0,0,0.2569,0.7431,0.947,0.0,0.0,0.0469,0.006,0.0,0.0,0.0,0,2021-01-14
2021_Q1,2021,Q1,10073,0,13,2,5,19,0.0,1.2906,0.1986,0.4964,1.8862,0.0,1.2906,0.1986,0.4964,1.8862,0,0,0,0,0,0.9103,0.0897,0.9999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2021-04-15
2021_Q2,2021,Q2,9488,0,12,0,10,18,0.0,1.2648,0.0,1.054,1.8971,0.0,1.2648,0.0,1.054,2.1079,0,0,0,0,2,0.9153,0.0847,0.9998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2021-07-15
2021_Q3,2021,Q3,8459,0,9,0,2,19,0.0,1.064,0.0,0.2364,2.2461,0.0,1.064,0.0,0.2364,2.2461,0,0,0,0,0,0.9024,0.0976,0.9998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2021-10-14
2021_Q4,2021,Q4,9812,1,22,0,2,13,0.1019,2.2422,0.0,0.2038,1.3249,0.1019,2.2422,0.0,0.2038,1.3249,0,0,0,0,0,0.8256,0.1744,0.9999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2022-01-13
2022_Q1,2022,Q1,8553,0,18,1,3,10,0.0,2.1045,0.1169,0.3508,1.1692,0.0,2.1045,0.1169,0.3508,1.1692,0,0,0,0,0,0.8872,0.1128,0.9998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2022-04-14
2022_Q2,2022,Q2,9548,0,4,0,18,14,0.0,0.4189,0.0,1.8852,1.4663,0.0,0.4189,0.0,1.8852,1.4663,0,0,0,0,0,0.9038,0.0962,0.9998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2022-07-14
2022_Q3,2022,Q3,8258,0,11,1,16,8,0.0,1.332,0.1211,1.9375,0.9688,0.0,1.332,0.1211,1.9375,0.9688,0,0,0,0,0,0.9028,0.0972,0.9998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2022-10-13
2022_Q4,2022,Q4,9984,1,5,2,4,20,0.1002,0.5008,0.2003,0.4006,2.0032,0.1002,0.5008,0.2003,0.4006,2.0032,0,0,0,0,0,0.8273,0.1727,0.9999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2023-01-12
2023_Q1,2023,Q1,8569,0,3,3,8,11,0.0,0.3501,0.3501,0.9336,1.2837,0.0,0.3501,0.3501,0.9336,1.2837,0,0,0,0,0,0.8953,0.1047,0.9998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2023-04-20
2023_Q2,2023,Q2,9819,1,6,1,7,20,0.1018,0.6111,0.1018,0.7129,2.0369,0.1018,0.6111,0.1018,0.7129,2.1387,0,0,0,0,1,0.9033,0.0967,0.9938,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0,2023-07-20
2023_Q3,2023,Q3,8002,1,7,1,6,28,0.125,0.8748,0.125,0.7498,3.4991,0.125,0.8748,0.125,0.7498,3.4991,0,0,0,0,0,0.8959,0.1041,0.9998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2023-10-19
2023_Q4,2023,Q4,8627,0,5,1,4,16,0.0,0.5796,0.1159,0.4637,1.8546,0.0,0.5796,0.1159,0.4637,1.8546,0,0,0,0,0,0.8175,0.1825,0.9998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2024-01-18
2024_Q1,2024,Q1,9317,0,6,0,6,15,0.0,0.644,0.0,0.644,1.61,0.0,0.644,0.0,0.644,1.61,0,0,0,0,0,0.8189,0.1811,0.9997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2024-04-18
2024_Q2,2024,Q2,7356,0,8,2,3,17,0.0,1.0875,0.2719,0.4078,2.311,0.0,1.0875,0.2719,0.4078,2.311,0,0,0,0,0,0.8625,0.1375,0.9998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2024-07-18
2024_Q3,2024,Q3,6290,0,6,0,0,5,0.0,0.9539,0.0,0.0,0.7949,0.0,0.9539,0.0,0.0,0.7949,0,0,0,0,0,0.8713,0.1287,0.9998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2024-10-17
2024_Q4,2024,Q4,7586,0,15,0,0,15,0.0,1.9773,0.0,0.0,1.9773,0.0,1.9773,0.0,0.0,1.9773,0,0,0,0,0,0.7781,0.2219,0.9045,0.0001,0.0001,0.0001,0.0952,0.0001,0.0001,0.0001,0,2025-01-16
2025_Q1,2025,Q1,6911,0,9,1,0,11,0.0,1.3023,0.1447,0.0,1.5917,0.0,1.3023,0.1447,0.0,1.5917,0,0,0,0,0,0.8521,0.1479,0.9998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2025-04-17
2025_Q2,2025,Q2,7894,3,15,5,8,18,0.38,1.9002,0.6334,1.0134,2.2802,0.38,2.0269,0.6334,1.0134,2.2802,0,1,0,0,0,0.8686,0.1314,0.9997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2025-07-17
2025_Q3,2025,Q3,6129,0,11,1,0,17,0.0,1.7947,0.1632,0.0,2.7737,0.0,1.7947,0.1632,0.0,2.9369,0,0,0,0,1,0.8865,0.1135,0.9588,0.0,0.0,0.0409,0.0,0.0,0.0,0.0,0,2025-10-16
2025_Q4,2025,Q4,8543,3,18,5,0,26,0.3512,2.107,0.5853,0.0,3.0434,0.3512,2.107,0.5853,0.0,3.0434,0,0,0,0,0,0.454,0.546,0.9424,0.0001,0.0001,0.056,0.0013,0.0001,0.0001,0.0001,0,2026-01-15
2026_Q1,2026,Q1,6888,0,13,3,0,19,0.0,1.8873,0.4355,0.0,2.7584,0.0,1.8873,0.4355,0.0,2.7584,0,0,0,0,0,0.7209,0.2791,0.9682,0.0,0.0,0.0317,0.0,0.0,0.0,0.0,0,2026-04-17
